"","ME6","ME4","ME5","ME7","ME3","ME1","ME2","ME0"
"R42016-086pf_3-IR_L1",-0.0141702560972717,0.00831661017586885,-0.00479329971558519,-0.0134499030137842,-0.014757930093603,-0.0229649344846888,-0.030760685162959,-0.0453411525834552
"R42015-426pf_30-IR_L8",0.0156595029273355,0.0171624345171599,0.0175960852428735,0.0289423318793109,-0.00766525877493752,0.0188567334588691,0.0177613773548396,-0.000451856655367524
"R42015-512pf_300-IR_L3",-0.00803389282754319,0.00904444841473161,-0.00188487026300204,-0.0107533436688162,-0.011946276979941,-0.0244028441343773,-0.0149303122996466,-0.0223910193622664
"R42015-513pf_301-IR_L3",-0.00718031432164613,0.0106151450583005,-0.000674704105701221,0.000239879963452906,-0.0137676672369581,-0.027953325841835,0.0153310184277081,-0.0356349804018756
"R42015-266pf_302-IR_L8",-0.00423731501206021,0.0148188270841905,0.00604694951117449,0.00231641281017994,-0.0110233177025316,-0.0276468925727642,0.0171114295083642,-0.000864902021678224
"R42015-267pf_303-IR_L8",-0.0166778187196324,0.00597334339786145,-0.00702110277663879,-0.00149376833647853,-0.0144290748952062,-0.041294382820511,0.0145904220873924,-0.048658916031044
"R42015-268pf_305-IR_L8",-0.0136356754199976,0.00602158236429329,-0.00480854832100657,-0.00192723260761262,-0.0117748636430363,-0.0378921662757116,0.0162450367519971,-0.0368350356255136
"R42015-269pf_306-IR_L8",-0.00768286747710515,0.0122531135817014,0.00238984888119207,0.00603596178656654,-0.0110092877425185,-0.0350141447785375,0.0258949842400112,-0.028095739809617
"R42015-270pf_307-IR_L8",0.00205368016861656,0.0103097645479137,0.00531380678195165,0.000946431935521396,-0.00997449235112021,0.00588152594772041,-0.022584700725445,-0.00305282083781396
"R42015-271pf_308-IR_L8",-0.0217572453660153,-0.00435008893075114,-0.0135686158456266,-0.0181251084357738,-0.0140570543377299,-0.0138600810190438,-0.0547469057949953,-0.0305846889993695
"R42015-547pf_309-IR_L6",-0.0313486753075318,0.000589257724897962,-0.0157384763017742,-0.0345232445968178,-0.0153196716313728,-0.0557086705381172,-0.0444308874985365,-0.0508277153618042
"R42015-427pf_31-IR_L8",0.00788417264358537,0.0123255454099406,0.0100525142281125,0.0265149134069233,-0.00798801361034405,0.00494668424678624,0.0263655944330417,0.00755364373107181
"R42015-272pf_310-IR_L8",-0.0114801774144825,0.00976215261093624,-0.000978792594573034,-0.0286376037182592,-0.0154041545579897,-0.0164638897880951,-0.0659132021469426,-0.0386062526869127
"R42015-273pf_311-IR_L8",-0.00171195523967143,0.0122763343629947,0.00356224042997598,-0.00647883548246295,-0.0124730854915278,-0.0050989456912104,-0.0190674075829814,-0.01605162501657
"R42015-274pf_312-IR_L8",0.00581867965704216,0.016597998582254,0.0123704602943971,-0.00500458320065057,-0.0110111433227389,-0.00216288735067587,-0.0227639700670331,-0.00180658711033295
"R42015-275pf_313-IR_L8",-0.0020266248122167,0.0132045887071107,0.00408526902126824,-0.00910990055244195,-0.0129184839653209,-0.00984931158767139,-0.0318962806111114,-0.0139131207718105
"R42015-276pf_314-IR_L8",0.00980344122919781,0.0181383251743193,0.0181398429732581,-0.00309764056234245,-0.00727316454518094,0.00148247017952834,-0.0123643692898129,0.0274009537558675
"R42015-277pf_315-IR_L8",0.00107394674108643,0.0153210253986516,0.00703449333023081,-0.0120772581921737,-0.012255603549049,-0.00332941076803614,-0.0368844002442145,-0.00773467326344268
"R42015-336pf_316-IR_L1",-0.00278892565949736,0.0145996590743081,0.0063495255575672,-0.00374399837828144,-0.0106400114756018,-0.0153452421322864,-0.00108783828308849,-0.0206494378951672
"R42015-337pf_317-IR_L1",-0.00671358785420923,0.00754923176676394,-0.00176436149709108,-0.000310812254170946,-0.0124316273787846,-0.0236598912920587,-0.000765220856467686,-0.0111870494867364
"R42015-338pf_318-IR_L1",0.00617250557315767,0.0189356099338327,0.0119391056825701,0.00998472998316717,-0.0094973416458863,-0.00932577836954432,0.0212879065246922,-0.00337889143394719
"R42015-339pf_319-IR_L1",0.00901831654984232,0.0159292765606306,0.0132207680969293,0.0219218732257736,-0.00841864303640654,-0.00452249620480382,0.0401885945842748,-0.00533536375577106
"R42016-102pf_32-IR_L2",-0.0170185829508858,0.00760201980006936,-0.00662841872487285,-0.0349749892458001,-0.0142468710709224,-0.022205299859115,-0.067871319817131,-0.0516718779829985
